"Table SmokSex. Current cigarette smoking among adults aged 18 and over, by sex, race, and age: United States, selected years 1965–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excel version (with more data years and standard errors when available): https://www.cdc.gov/nchs/hus/contents2020-2021.htm#Table-SmokSex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Data are based on household interviews of a sample of the civilian noninstitutionalized population],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sex, race, and age",1965 ,SE,1974 ,SE,1979 ,SE,1983 ,SE,1985 ,SE,1987 ,SE,1988 ,SE,1990,SE,1991,SE,1992,SE,1993,SE,1994,SE,1995,SE,1997,SE,1998,SE,1999,SE,2000,SE,2001,SE,2002,SE,2003,SE,2004,SE,2005,SE,2006,SE,2007,SE,2008,SE,2009,SE,2010,SE,2011,SE,2012,SE,2013,SE,2014,SE,2015,SE,2016,SE,2017,SE,2018,SE,2019,SE
"18 years and over, age adjusted\1",Percent of adults who are current cigarette smokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people\2,41.9,0.3,37.0,0.3,33.3,0.3,31.9,0.4,29.9,0.3,28.6,0.3,27.8,0.3,25.3,0.3,25.5,0.3,26.3,0.4,24.8,0.4,25.3,0.4,24.6,0.4,24.6,0.3,24.0,0.3,23.3,0.3,23.1,0.3,22.6,0.3,22.3,0.3,21.5,0.3,20.8,0.3,20.8,0.3,20.8,0.3,19.7,0.4,20.6,0.4,20.6,0.4,19.3,0.3,19.0,0.3,18.2,0.3,17.9,0.3,17.0,0.3,15.3,0.3,15.7,0.3,14.1,0.3,13.9,0.3,14.2,0.3
Male,51.2,0.3,42.8,0.5,37.0,0.5,34.8,0.6,32.2,0.5,30.9,0.4,30.3,0.4,28.0,0.4,27.6,0.4,28.1,0.5,27.3,0.6,27.6,0.5,26.5,0.6,27.1,0.4,25.9,0.4,25.2,0.5,25.2,0.4,24.6,0.4,24.6,0.4,23.7,0.4,23.0,0.4,23.4,0.5,23.6,0.5,22.0,0.5,22.8,0.6,23.2,0.5,21.2,0.5,21.2,0.4,20.6,0.4,20.5,0.5,19.0,0.4,16.8,0.4,17.7,0.5,16.0,0.4,15.8,0.4,15.5,0.4
White male\3,50.4,0.3,41.7,0.5,36.4,0.5,34.2,0.6,31.3,0.6,30.3,0.4,29.6,0.4,27.6,0.4,26.9,0.4,27.7,0.6,26.6,0.6,27.1,0.6,26.2,0.7,26.8,0.5,26.0,0.5,25.0,0.5,25.4,0.5,24.8,0.5,24.9,0.5,23.8,0.5,23.0,0.5,23.3,0.5,23.5,0.6,22.2,0.6,23.0,0.6,23.6,0.6,21.4,0.5,21.4,0.5,20.7,0.5,20.5,0.5,18.8,0.5,16.8,0.5,17.5,0.5,16.0,0.5,15.8,0.5,15.6,0.4
Black or African American male\3,58.8,0.9,53.6,1.8,43.9,1.9,41.7,1.9,40.2,1.4,39.5,1.5,37.3,1.2,32.8,1.2,35.6,1.4,33.3,1.7,33.7,1.9,34.3,1.9,29.4,1.9,32.4,1.3,29.0,1.3,28.4,1.5,25.7,1.2,27.5,1.3,26.6,1.3,25.3,1.2,23.5,1.2,25.9,1.3,26.1,1.5,23.4,1.3,24.7,1.5,23.1,1.2,23.3,1.1,23.2,1.0,22.0,1.1,21.8,1.2,21.7,1.1,20.3,1.2,20.3,1.4,18.5,1.4,18.4,1.3,17.7,1.2
Female,33.7,0.3,32.2,0.4,30.1,0.5,29.4,0.4,27.9,0.4,26.5,0.4,25.7,0.3,22.9,0.3,23.5,0.3,24.6,0.5,22.6,0.4,23.1,0.5,22.7,0.5,22.2,0.4,22.1,0.4,21.6,0.4,21.1,0.4,20.7,0.4,20.0,0.4,19.4,0.4,18.7,0.4,18.3,0.4,18.1,0.4,17.5,0.5,18.5,0.5,18.1,0.4,17.5,0.4,16.8,0.4,15.9,0.4,15.5,0.4,15.1,0.4,13.8,0.4,13.7,0.4,12.3,0.4,12.2,0.4,13.0,0.3
White female\3,33.9,0.4,32.0,0.4,30.3,0.5,29.6,0.4,27.9,0.5,26.9,0.4,25.9,0.4,23.5,0.4,24.0,0.4,25.3,0.5,23.4,0.5,24.0,0.5,23.4,0.6,22.8,0.4,23.0,0.5,22.5,0.4,22.0,0.4,22.0,0.4,21.0,0.4,20.1,0.4,19.5,0.4,19.1,0.4,18.8,0.5,18.5,0.5,19.5,0.6,18.7,0.5,18.3,0.5,17.7,0.5,16.9,0.4,16.3,0.5,16.0,0.5,14.8,0.5,14.4,0.4,13.0,0.4,12.8,0.4,14.5,0.4
Black or African American female\3,31.8,0.7,35.6,1.5,30.5,1.1,31.3,1.3,30.9,1.1,27.4,0.9,27.0,0.9,20.8,0.8,23.8,0.9,24.5,1.1,20.6,1.1,21.6,1.1,23.5,1.3,22.5,0.8,21.1,0.9,20.5,0.9,20.7,0.9,18.0,0.8,18.3,0.9,17.9,0.9,16.9,0.9,17.1,0.9,18.5,0.9,15.6,0.9,17.4,1.0,18.5,1.0,16.6,0.9,15.2,0.8,14.2,0.7,14.9,0.8,13.4,0.7,13.2,0.8,13.2,1.0,11.5,0.9,11.4,0.9,12.8,0.9
"18 years and over, crude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All people\2,42.4,0.3,37.1,0.3,33.5,0.4,32.1,0.4,30.1,0.4,28.8,0.3,28.1,0.3,25.5,0.3,25.6,0.3,26.5,0.4,25.0,0.4,25.5,0.4,24.7,0.4,24.7,0.3,24.1,0.3,23.5,0.3,23.2,0.3,22.7,0.3,22.4,0.3,21.6,0.3,20.9,0.3,20.9,0.3,20.8,0.3,19.8,0.4,20.6,0.4,20.6,0.4,19.3,0.3,19.0,0.3,18.1,0.3,17.8,0.3,16.8,0.3,15.1,0.3,15.5,0.3,14.0,0.3,13.7,0.3,14.0,0.3
Male,51.9,0.3,43.1,0.5,37.5,0.5,35.1,0.6,32.6,0.5,31.2,0.4,30.8,0.4,28.4,0.4,28.1,0.4,28.6,0.5,27.7,0.6,28.2,0.5,27.0,0.6,27.6,0.4,26.4,0.4,25.7,0.5,25.6,0.5,25.1,0.4,25.1,0.5,24.1,0.4,23.4,0.4,23.9,0.5,23.9,0.5,22.3,0.6,23.1,0.6,23.5,0.5,21.5,0.5,21.6,0.4,20.5,0.4,20.5,0.5,18.8,0.4,16.7,0.4,17.5,0.5,15.8,0.4,15.6,0.4,15.3,0.4
White male\3,51.1,0.3,41.9,0.6,36.8,0.5,34.5,0.6,31.7,0.6,30.5,0.5,30.1,0.4,28.0,0.4,27.4,0.4,28.2,0.6,27.0,0.6,27.7,0.6,26.6,0.7,27.2,0.5,26.3,0.5,25.3,0.5,25.7,0.5,25.0,0.5,25.0,0.5,24.0,0.5,23.2,0.5,23.6,0.5,23.6,0.6,22.3,0.6,23.1,0.6,23.6,0.6,21.4,0.5,21.6,0.5,20.3,0.5,20.3,0.5,18.5,0.5,16.5,0.5,17.2,0.5,15.7,0.4,15.5,0.5,15.3,0.4
Black or African American male\3,60.4,0.9,54.3,1.8,44.1,2.0,40.6,1.9,39.9,1.5,39.0,1.4,36.5,1.2,32.5,1.2,35.0,1.3,32.2,1.8,32.7,1.8,33.7,2.0,28.5,1.9,32.2,1.3,29.0,1.3,28.6,1.6,26.2,1.3,27.6,1.3,27.0,1.4,25.7,1.3,23.9,1.2,26.5,1.4,27.0,1.7,24.6,1.4,25.3,1.6,23.7,1.3,24.3,1.2,23.8,1.1,22.0,1.1,21.9,1.2,21.8,1.2,20.6,1.3,20.0,1.4,18.4,1.4,18.1,1.4,17.2,1.2
Female,33.9,0.4,32.1,0.4,29.9,0.5,29.5,0.4,27.9,0.4,26.5,0.4,25.7,0.3,22.8,0.3,23.5,0.3,24.6,0.5,22.5,0.4,23.1,0.5,22.6,0.5,22.1,0.4,22.0,0.4,21.5,0.4,20.9,0.4,20.6,0.4,19.8,0.4,19.2,0.4,18.5,0.4,18.1,0.4,18.0,0.4,17.4,0.5,18.3,0.5,17.9,0.4,17.3,0.4,16.5,0.4,15.8,0.4,15.3,0.4,14.8,0.4,13.6,0.4,13.5,0.3,12.2,0.3,12.0,0.3,12.7,0.3
White female\3,34.0,0.4,31.7,0.5,30.1,0.5,29.4,0.4,27.7,0.5,26.7,0.4,25.7,0.4,23.4,0.4,23.7,0.3,25.1,0.5,23.1,0.5,23.7,0.5,23.1,0.6,22.5,0.4,22.6,0.4,22.1,0.4,21.4,0.4,21.5,0.4,20.6,0.4,19.7,0.4,19.1,0.4,18.7,0.4,18.4,0.5,18.1,0.5,19.1,0.6,18.3,0.5,17.9,0.5,17.2,0.4,16.6,0.4,15.9,0.5,15.5,0.5,14.3,0.4,14.0,0.4,12.8,0.4,12.5,0.4,14.0,0.4
Black or African American female\3,33.7,0.8,36.4,1.5,31.1,1.2,32.2,1.3,31.0,1.1,28.0,0.9,27.8,0.9,21.2,0.8,24.4,0.9,24.2,1.1,20.8,1.1,21.7,1.1,23.5,1.4,22.5,0.9,21.1,1.0,20.6,1.0,20.8,0.9,18.1,0.8,18.5,0.9,18.1,0.9,17.3,0.9,17.3,0.9,18.8,1.0,15.9,0.9,17.8,1.0,18.8,1.1,17.0,0.9,15.3,0.8,14.7,0.8,15.1,0.8,13.5,0.7,13.1,0.8,13.2,1.0,11.7,0.9,11.4,0.9,12.9,0.9
All males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18–44 years,57.9,0.4,47.9,0.8,40.4,0.6,37.7,0.7,35.2,0.7,33.7,0.6,33.6,0.6,31.4,0.6,30.7,0.5,31.7,0.7,30.6,0.8,31.7,0.8,29.9,0.9,31.4,0.6,29.9,0.6,29.5,0.7,29.2,0.6,27.9,0.6,29.4,0.7,27.9,0.6,26.1,0.6,27.1,0.7,26.7,0.8,25.8,0.8,25.6,0.8,26.9,0.8,23.9,0.7,23.6,0.7,24.0,0.7,22.9,0.7,21.7,0.7,18.5,0.7,19.1,0.7,17.4,0.6,16.1,0.7,16.0,0.6
